Snake,id_part,id_node,source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,radial_velocity_error,parallax_error,pmra_error,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr
0,layer10_83463,layer12_88323,3104591722367964416,97.40412388095363,-4.061955546858844,2.883054126690797,-4.670938516224751,-1.837774904089713,,,0.044867024,0.04340765,0.043224018,0.13325332,0.24434768
0,layer10_83463,layer12_88323,3104601583613532800,96.82579479838842,-4.331778371066851,3.306879877094502,-4.507814457839679,-1.69033323569064,,,0.05869701,0.059636373,0.06561957,0.15322374,0.035407875
0,layer10_83463,layer12_88323,3104601824132174592,96.82283161154128,-4.321451147624599,2.863766700940315,-4.635029809346153,-2.2824343565440417,,,0.062979005,0.06587999,0.069017604,0.12762266,0.048680566
0,layer10_83463,layer12_88323,3104601995929583360,96.71354441881076,-4.356483012520628,3.255882475707892,-4.687172329462582,-1.9800289057172429,,,0.03805803,0.038338903,0.03741993,-0.021530202,0.15789601
0,layer10_83463,layer12_88323,3104605019586592256,96.56683823538232,-4.292307998542743,3.0135038911882908,-4.62417130826984,-1.9901323023701785,,,0.05291625,0.049963087,0.046471365,0.15550517,0.24569832
0,layer10_83463,layer12_88323,3104605191385258112,96.59789039047511,-4.26962594796295,3.139906028141452,-4.682511462084317,-1.866573380609362,30.839508,5.250491,0.021569135,0.020395022,0.02025384,0.13972953,0.24613626
0,layer10_83463,layer12_88323,3104608283762129664,96.88897614638762,-4.257189760725495,2.933035540135464,-5.157029301739706,-1.6847691733076722,,,0.12716353,0.12717845,0.13950463,0.24673577,0.08580499
0,layer10_83463,layer12_88323,3104609035376156032,96.8145974255042,-4.222268416330143,3.0874463421646565,-4.533473581604795,-2.212723251992988,,,0.114763066,0.11944243,0.1289923,0.17350698,-0.08033893
0,layer10_83463,layer12_88323,3104609585132889216,96.8577622723653,-4.195073326388744,3.4025310335304053,-5.090386813435977,-1.926965469169816,,,0.24810833,0.25858435,0.27979574,0.14545529,-0.041930057
0,layer10_83463,layer12_88323,3104612918026630528,96.72172509913928,-4.202643751461713,3.105027912279473,-4.726077540036104,-1.789768229784487,,,0.098163776,0.09213061,0.08595527,0.2149453,0.09395005
0,layer10_83463,layer12_88323,3104613124185120384,96.74132996358568,-4.178513959774943,2.985155269881404,-4.634505716646344,-1.7300943261733488,,,0.21303959,0.19962189,0.19380258,0.25251892,0.067684345
0,layer10_83463,layer12_88323,3104615396227415552,96.7872244638929,-4.112486792135755,3.138382146398462,-4.530770249882127,-1.8838190853619947,26.918537,6.4750824,0.024316393,0.023977557,0.026524078,0.15806395,0.15671442
0,layer10_83463,layer12_88323,3104616804976844672,96.56572190850868,-4.276160087401033,3.2085300908055308,-4.913978558189849,-1.7347131532133169,,,0.07921198,0.07451585,0.06862171,0.18872803,0.27610898
